Andre Brown,81,3,75,8,1.1,1,2.1,1.1,1,2.1,0,0,0,0.4,0.5,0.9,0.9,1.4,2.4,0.1,0.2,0.1,0.6,1,2.6,3.3
Andre Dawkins,77,1,4,5.5,0.3,1.2,1.5,0,0,0,0.3,1.2,1.5,0,0,0,0,0.5,0.5,0.3,0,0,0.3,0.8,0.8,0.1
Andre Drummond,83,5,385,29.7,5.8,4.7,10.5,5.7,4.8,10.5,0,0,0,1.8,2.9,4.7,4.6,8.2,12.8,0.7,1.2,1.5,1.5,3.1,13.3,20.3
Andre Emmett,77,3,14,5.2,0.4,0.5,0.9,0.4,0.5,0.9,0,0.1,0.1,0.6,0.3,0.9,0.1,0.4,0.6,0.1,0.1,0.1,0.2,0.4,1.4,1.2
Andre Iguodala,78,1,976,34.7,4.7,5.3,10,3.7,3.5,7.2,0.9,1.9,2.8,2.8,1.1,3.9,1,4.3,5.3,4.5,1.6,0.5,2,1.9,13,16.4
Andre McCarter,75,1,43,10.4,1.2,1.9,3.1,1.1,1.9,3,0,0.2,0.2,0.4,0.2,0.6,0.4,0.5,0.9,1.7,0.3,0,0.6,0.8,2.8,2.8
Andre Miller,75,1,1304,30.9,4.6,5.4,10,4.5,4.9,9.4,0.1,0.6,0.7,3.1,0.7,3.8,1.1,2.6,3.7,6.5,1.2,0.2,2.4,2.2,12.5,15.5
Andre Moore,81,3,10,5,0.9,1.8,2.7,0.9,1.8,2.7,0,0,0,0.6,0.2,0.8,0.6,0.8,1.4,0.6,0.2,0.1,0.4,0.6,2.4,2.3
Andre Owens,76,1,54,11.1,1.2,2.2,3.4,0.9,1.4,2.3,0.4,0.6,1,0.7,0.3,1,0.4,0.8,1.3,1,0.3,0.1,0.7,1.1,3.6,3.3
Andre Roberson,79,1,256,21.9,1.9,2,3.9,1.5,0.9,2.4,0.4,1.1,1.5,0.4,0.5,0.9,1.1,2.9,3.9,0.8,0.9,0.6,0.6,2.2,4.5,7.6
Andre Spencer,78,3,48,16.1,2.6,3.3,5.9,2.6,3.2,5.8,0,0,0,2,0.7,2.7,1.4,1.8,3.2,1,0.8,0.3,1,2.2,7.2,7.6
Andre Turner,71,1,170,14.8,1.8,2.5,4.3,1.7,2.2,3.9,0.1,0.2,0.3,0.8,0.3,1.1,0.4,1.2,1.5,3.1,0.8,0,1.2,1.2,4.5,6
Andre Wakefield,75,1,8,5.9,0.8,1.1,1.9,0.8,1.1,1.9,0,0,0,0.4,0,0.4,0,0.5,0.5,0.4,0.1,0,1,1.6,1.9,0.8
Andrea Bargnani,84,3,550,28.7,5.3,6.8,12.1,4.2,4.7,8.9,1.1,2.1,3.2,2.5,0.5,3,1,3.7,4.6,1.2,0.4,0.9,1.5,2.4,14.3,12.6
Andreas Glyniadakis,85,5,13,6.2,0.6,0.7,1.3,0.6,0.7,1.3,0,0,0,0.1,0.1,0.2,0.2,0.5,0.6,0.1,0,0,0.7,1.5,1.3,0.5
